status,focus_r,depth,negative_rules,target_rule,negative_moduli,target_moduli,fresh_target_moduli,refinement_ratio,counterexample_residue
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=27,a=2,b=106",37;41;43,53,53,3457243,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=2,b=58",37;41;43,29,29,1891699,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=31,a=2,b=122",37;41;43,61,61,3979091,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=11,a=15,b=29",37;41;43,5;29,5;29,1891699,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=15,a=2,b=58",37;41;43;59,29,29,111610241,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=31,a=2,b=122",37;41;43;59,61,61,234766369,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=11,a=15,b=29",37;41;43;59,5;29,5;29,111610241,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=31,a=2,b=122",37;41;43;53;59,61,61,12442617557,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=11,a=15,b=29",37;41;43;53;59,5;29,5;29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=11,a=15,b=29",29;37;41;43;53;59,5;29,5,5915342773,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
failed,289,1,"d=11,a=1,b=43","d=11,a=3,b=41",43,41,41,1763,19699969
failed,289,1,"d=11,a=1,b=43","d=19,a=2,b=74",43,37,37,1591,19699969
failed,289,1,"d=11,a=1,b=43","d=15,a=1,b=59",43,59,59,2537,19699969
failed,289,1,"d=11,a=1,b=43","d=27,a=2,b=106",43,53,53,2279,19699969
failed,289,1,"d=11,a=1,b=43","d=15,a=2,b=58",43,29,29,1247,19699969
failed,289,1,"d=11,a=1,b=43","d=31,a=2,b=122",43,61,61,2623,19699969
failed,289,1,"d=11,a=1,b=43","d=11,a=15,b=29",43,5;29,5;29,1247,19699969
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=1,b=59",41;43,59,59,104017,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=27,a=2,b=106",41;43,53,53,93439,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=2,b=58",41;43,29,29,51127,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=31,a=2,b=122",41;43,61,61,107543,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=11,a=15,b=29",41;43,5;29,5;29,51127,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=27,a=2,b=106",37;41;43,53,53,3457243,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=2,b=58",37;41;43,29,29,1891699,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=31,a=2,b=122",37;41;43,61,61,3979091,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=11,a=15,b=29",37;41;43,5;29,5;29,1891699,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=15,a=2,b=58",37;41;43;59,29,29,111610241,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=31,a=2,b=122",37;41;43;59,61,61,234766369,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=11,a=15,b=29",37;41;43;59,5;29,5;29,111610241,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=31,a=2,b=122",37;41;43;53;59,61,61,12442617557,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=11,a=15,b=29",37;41;43;53;59,5;29,5;29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=11,a=15,b=29",29;37;41;43;53;59,5;29,5,5915342773,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
failed,289,1,"d=11,a=1,b=43","d=11,a=3,b=41",43,41,41,1763,19820089
failed,289,1,"d=11,a=1,b=43","d=19,a=2,b=74",43,37,37,1591,19820089
failed,289,1,"d=11,a=1,b=43","d=15,a=1,b=59",43,59,59,2537,19820089
failed,289,1,"d=11,a=1,b=43","d=27,a=2,b=106",43,53,53,2279,19820089
failed,289,1,"d=11,a=1,b=43","d=15,a=2,b=58",43,29,29,1247,19820089
failed,289,1,"d=11,a=1,b=43","d=31,a=2,b=122",43,61,61,2623,58618849
failed,289,1,"d=11,a=1,b=43","d=11,a=15,b=29",43,5;29,5;29,1247,19820089
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=1,b=59",41;43,59,59,104017,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=27,a=2,b=106",41;43,53,53,93439,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=2,b=58",41;43,29,29,51127,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=31,a=2,b=122",41;43,61,61,107543,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=11,a=15,b=29",41;43,5;29,5;29,51127,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=27,a=2,b=106",37;41;43,53,53,3457243,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=2,b=58",37;41;43,29,29,1891699,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=31,a=2,b=122",37;41;43,61,61,3979091,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=11,a=15,b=29",37;41;43,5;29,5;29,1891699,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=15,a=2,b=58",37;41;43;59,29,29,111610241,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=31,a=2,b=122",37;41;43;59,61,61,234766369,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=11,a=15,b=29",37;41;43;59,5;29,5;29,111610241,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=31,a=2,b=122",37;41;43;53;59,61,61,12442617557,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=11,a=15,b=29",37;41;43;53;59,5;29,5;29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=11,a=15,b=29",29;37;41;43;53;59,5;29,5,5915342773,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
failed,289,1,"d=11,a=1,b=43","d=11,a=3,b=41",43,41,41,1763,19940209
failed,289,1,"d=11,a=1,b=43","d=19,a=2,b=74",43,37,37,1591,19940209
failed,289,1,"d=11,a=1,b=43","d=15,a=1,b=59",43,59,59,2537,19940209
failed,289,1,"d=11,a=1,b=43","d=27,a=2,b=106",43,53,53,2279,19940209
failed,289,1,"d=11,a=1,b=43","d=15,a=2,b=58",43,29,29,1247,19940209
failed,289,1,"d=11,a=1,b=43","d=31,a=2,b=122",43,61,61,2623,19940209
failed,289,1,"d=11,a=1,b=43","d=11,a=15,b=29",43,5;29,5;29,1247,19940209
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=1,b=59",41;43,59,59,104017,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=27,a=2,b=106",41;43,53,53,93439,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=2,b=58",41;43,29,29,51127,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=31,a=2,b=122",41;43,61,61,107543,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=11,a=15,b=29",41;43,5;29,5;29,51127,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=27,a=2,b=106",37;41;43,53,53,3457243,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=2,b=58",37;41;43,29,29,1891699,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=31,a=2,b=122",37;41;43,61,61,3979091,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=11,a=15,b=29",37;41;43,5;29,5;29,1891699,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=15,a=2,b=58",37;41;43;59,29,29,111610241,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=31,a=2,b=122",37;41;43;59,61,61,234766369,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=11,a=15,b=29",37;41;43;59,5;29,5;29,111610241,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=31,a=2,b=122",37;41;43;53;59,61,61,12442617557,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=11,a=15,b=29",37;41;43;53;59,5;29,5;29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=11,a=15,b=29",29;37;41;43;53;59,5;29,5,5915342773,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
failed,289,1,"d=11,a=1,b=43","d=11,a=3,b=41",43,41,41,1763,20180449
failed,289,1,"d=11,a=1,b=43","d=19,a=2,b=74",43,37,37,1591,20180449
failed,289,1,"d=11,a=1,b=43","d=15,a=1,b=59",43,59,59,2537,20180449
failed,289,1,"d=11,a=1,b=43","d=27,a=2,b=106",43,53,53,2279,20180449
failed,289,1,"d=11,a=1,b=43","d=15,a=2,b=58",43,29,29,1247,20180449
failed,289,1,"d=11,a=1,b=43","d=31,a=2,b=122",43,61,61,2623,20180449
failed,289,1,"d=11,a=1,b=43","d=11,a=15,b=29",43,5;29,5;29,1247,20180449
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=1,b=59",41;43,59,59,104017,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=27,a=2,b=106",41;43,53,53,93439,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=2,b=58",41;43,29,29,51127,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=31,a=2,b=122",41;43,61,61,107543,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=11,a=15,b=29",41;43,5;29,5;29,51127,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=27,a=2,b=106",37;41;43,53,53,3457243,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=2,b=58",37;41;43,29,29,1891699,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=31,a=2,b=122",37;41;43,61,61,3979091,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=11,a=15,b=29",37;41;43,5;29,5;29,1891699,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=15,a=2,b=58",37;41;43;59,29,29,111610241,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=31,a=2,b=122",37;41;43;59,61,61,234766369,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=11,a=15,b=29",37;41;43;59,5;29,5;29,111610241,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=31,a=2,b=122",37;41;43;53;59,61,61,12442617557,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=11,a=15,b=29",37;41;43;53;59,5;29,5;29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=11,a=15,b=29",29;37;41;43;53;59,5;29,5,5915342773,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
failed,289,1,"d=11,a=1,b=43","d=11,a=3,b=41",43,41,41,1763,20540809
failed,289,1,"d=11,a=1,b=43","d=19,a=2,b=74",43,37,37,1591,59339569
failed,289,1,"d=11,a=1,b=43","d=15,a=1,b=59",43,59,59,2537,20540809
failed,289,1,"d=11,a=1,b=43","d=27,a=2,b=106",43,53,53,2279,20540809
failed,289,1,"d=11,a=1,b=43","d=15,a=2,b=58",43,29,29,1247,20540809
failed,289,1,"d=11,a=1,b=43","d=31,a=2,b=122",43,61,61,2623,20540809
failed,289,1,"d=11,a=1,b=43","d=11,a=15,b=29",43,5;29,5;29,1247,20540809
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=1,b=59",41;43,59,59,104017,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=27,a=2,b=106",41;43,53,53,93439,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=2,b=58",41;43,29,29,51127,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=31,a=2,b=122",41;43,61,61,107543,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=11,a=15,b=29",41;43,5;29,5;29,51127,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=27,a=2,b=106",37;41;43,53,53,3457243,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=2,b=58",37;41;43,29,29,1891699,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=31,a=2,b=122",37;41;43,61,61,3979091,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=11,a=15,b=29",37;41;43,5;29,5;29,1891699,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=15,a=2,b=58",37;41;43;59,29,29,111610241,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=31,a=2,b=122",37;41;43;59,61,61,234766369,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=11,a=15,b=29",37;41;43;59,5;29,5;29,111610241,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=31,a=2,b=122",37;41;43;53;59,61,61,12442617557,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=11,a=15,b=29",37;41;43;53;59,5;29,5;29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=11,a=15,b=29",29;37;41;43;53;59,5;29,5,5915342773,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
